,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
18144,2017-11-20,1118557,192044.31,148049,113000.00,4.0,2.0,1224.0,10466.0,197359.0,39,3,2013,0.0,2.0,1.0,155300.0
18149,2017-11-20,1117980,19761.69,101148,19761.69,3.0,2.0,1874.0,4355.0,219787.0,39,36,2017,1.0,1.0,2.0,85100.0
18171,2017-11-17,1106997,506926.01,371754,292700.00,3.0,2.0,2310.0,8813.0,406190.0,38,9,2013,0.0,2.0,2.0,310600.0
18175,2017-11-17,1115842,99606.86,113000,87333.00,2.0,2.0,1156.0,0.0,87038.0,38,36,2017,1.0,4.0,1.0,87400.0
18191,2017-11-17,1117694,457122.92,662567,479817.55,4.0,3.0,3755.0,23988.0,848504.0,38,2,2009,0.0,6.0,3.0,776100.0
18227,2017-11-16,1116467,592896.06,379721,361000.00,0.0,0.0,1424.0,0.0,516566.0,39,27,2016,1.0,9.0,1.0,361100.0
18260,2017-11-14,1106772,99605.76,78650,11056.00,2.0,2.0,1200.0,2940.0,143878.0,84,27,2016,1.0,1.0,1.0,31800.0
18297,2017-11-13,1101944,720382.31,321419,333900.00,3.0,2.0,1938.0,7564.06,366083.0,41,28,2016,0.0,28.0,1.0,351100.0
18329,2017-11-13,1112651,193382.46,246239,193382.46,2.0,2.0,1200.0,0.0,476364.0,41,10,2013,1.0,4.0,2.0,317300.0
18337,2017-11-09,1115296,19805.27,195700,20900.00,2.0,2.0,1235.0,0.0,254438.0,21,14,2016,1.0,3.0,3.0,111100.0
18352,2017-11-08,1114957,7143.98,120915,14793.48,1.0,1.0,908.0,0.0,220406.0,42,5,2011,1.0,4.0,1.0,60200.0
18364,2017-11-08,1104970,261970.94,155921,150000.00,2.0,1.0,1056.0,5000.0,202710.0,42,14,2014,0.0,3.0,4.0,160100.0
18366,2017-11-08,1114686,97258.66,293531,97258.66,4.0,3.0,1957.0,8958.0,363447.0,42,6,2012,0.0,3.0,3.0,168600.0
18372,2017-11-08,1105150,216816.19,159000,120128.94,2.0,2.0,1197.0,0.0,186946.0,42,9,2013,1.0,4.0,1.0,141900.0
18378,2017-11-08,1115719,15052.25,68200,15052.25,1.0,1.0,742.0,0.0,97230.0,42,33,2016,1.0,1.0,2.0,50200.0
18382,2017-11-08,1114356,104728.05,128314,115000.00,3.0,1.0,1000.0,1.0,193323.0,42,35,2017,1.0,2.5,2.0,147600.0
18388,2017-11-07,1100857,338454.91,235143,260000.00,4.0,2.0,1825.0,8250.0,281516.0,74,9,2015,0.0,7.0,1.0,260100.0
18398,2017-11-07,1104739,159268.24,168519,78000.00,2.0,1.0,780.0,10128.3,163142.0,74,20,2016,0.0,2.0,2.0,117100.0
18406,2017-11-07,1105088,367468.56,229860,193000.00,3.0,2.0,1592.0,3270.0,250001.0,74,4,2014,1.0,6.0,1.0,215700.0
18409,2017-11-07,1114642,22367.44,217840,22367.44,3.0,2.0,2314.0,5000.0,261223.0,74,11,2016,1.0,2.0,1.0,49600.0
18412,2017-11-07,1116092,292188.32,256949,264400.00,3.0,2.0,1620.0,8280.0,295049.0,74,7,2015,1.0,3.0,2.0,264500.0
18417,2017-11-06,1106406,197537.07,124200,139900.00,2.0,2.0,750.0,0.0,326100.0,75,22,2014,1.0,22.0,2.0,140000.0
18435,2017-11-06,1115447,16194.01,297824,36802.01,3.0,2.0,1696.0,8514.16,336301.0,75,4,2011,1.0,2.0,5.0,36900.0
18462,2017-11-06,1115168,146649.44,44483,146649.44,0.0,0.0,0.0,5250.0,275552.0,75,56,2016,0.0,3.0,2.0,146700.0
18465,2017-11-06,1113765,359974.92,333227,305500.00,3.0,2.0,1397.0,10500.0,373197.0,75,44,2016,0.0,3.5,2.0,305600.0
18510,2017-11-02,1113122,4356902.68,3712267,2900000.00,4.0,2.0,2777.0,22219.0,3695454.0,7,6,2016,0.0,6.0,3.0,2900100.0
