,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Plaintiff Max Bid
10287,2018-11-13,1178481,11703.52,203900,1.0,1.0,600.0,242216.0,113,110,2018,2.0,2.0,12000.00
10300,2018-11-13,1174018,261182.12,212600,0.0,0.0,1635.0,359472.0,113,95,2018,6.0,1.0,261182.12
10305,2018-11-13,1176836,512451.06,206115,0.0,0.0,1963.0,296400.0,113,113,2018,7.0,1.0,260300.00
10311,2018-11-13,1163894,688328.04,310982,2.0,2.0,1251.0,494800.0,113,87,2017,4.0,1.0,460000.00
10329,2018-11-13,1163749,413240.36,216000,2.0,2.0,1525.0,348487.0,113,67,2017,4.0,1.0,346500.00
10330,2018-11-13,1176827,370348.38,191800,2.0,2.0,1085.0,247815.0,113,93,2017,5.0,1.0,204000.00
10373,2018-11-07,1173376,777118.5,627741,2.0,2.0,1130.0,811366.0,55,12,2015,3.0,3.0,777118.50
10391,2018-11-06,1177433,844663.52,412000,2.0,2.0,1430.0,611599.0,89,2,2010,7.0,1.0,504000.00
10481,2018-11-05,1175652,137655.6,97000,1.0,1.0,725.0,119647.0,93,84,2017,3.0,1.0,138758.82
10502,2018-10-31,1176843,246952.65,117700,2.0,2.0,926.0,160701.0,44,35,2017,2.0,1.0,160000.00
10507,2018-10-31,1176348,1184305.42,800000,3.0,2.0,2290.0,2940810.0,44,15,2016,2.0,3.0,1256401.74
10529,2018-10-30,1167536,164249.36,99360,1.0,1.0,634.0,264500.0,25,10,2016,6.0,1.0,109786.86
10552,2018-10-29,1174415,23568.81,61079,1.0,1.0,620.0,76279.0,84,63,2017,1.0,1.0,23568.81
10570,2018-10-29,1175505,150916.98,97868,0.0,1.0,432.0,125081.0,84,61,2017,5.0,1.0,138000.00
10597,2018-10-29,1177244,286062.68,125001,3.0,3.0,1234.0,150667.0,84,60,2017,3.0,1.0,150000.00
10612,2018-10-29,1175649,149116.59,78000,1.0,1.0,473.0,118904.0,84,64,2017,6.0,1.0,117000.00
10618,2018-10-29,1174509,229873.17,145500,2.0,2.0,1010.0,197400.0,84,59,2017,7.0,1.0,176000.00
10625,2018-10-29,1174243,1176566.25,1009400,3.0,4.0,3200.0,1542952.0,84,72,2018,2.0,1.0,1176566.25
10645,2018-10-24,1173692,443183.98,281100,2.0,2.0,1190.0,409541.0,31,23,2016,9.0,1.0,446301.05
10661,2018-10-23,1175404,750910.96,317900,1.0,2.0,1975.0,888368.0,30,24,2017,3.0,1.0,428375.39
10669,2018-10-23,1175429,468102.52,213400,1.0,1.0,726.0,314727.0,30,27,2017,4.0,1.0,259000.00
10725,2018-10-22,1173685,207405.43,267510,2.0,2.0,1218.0,327191.0,80,20,2015,7.0,4.0,214268.20
10759,2018-10-17,1173098,291791.0,107000,1.0,1.0,588.0,127588.0,70,19,2015,9.0,1.0,84500.00
10785,2018-10-17,1172973,727502.21,377200,3.0,2.0,1866.0,540897.0,70,33,2016,3.5,1.0,448325.00
10796,2018-10-17,1173673,304448.96,281000,2.0,2.0,1357.0,350920.0,70,62,2018,9.0,1.0,290000.00
10800,2018-10-17,1174242,178928.61,99360,2.0,1.0,784.0,144979.0,70,54,2017,4.0,1.0,137000.00
10801,2018-10-17,1174390,210189.98,153000,2.0,2.0,1036.0,357200.0,70,57,2017,5.0,1.0,173900.00
10802,2018-10-17,1173081,853726.22,597038,2.0,2.0,1734.0,888063.0,70,45,2017,6.0,1.0,859730.74
10823,2018-10-16,1172173,196986.49,128000,1.0,1.0,710.0,158708.0,79,57,2017,5.0,1.0,141000.00
10826,2018-10-16,1172954,190419.52,112000,1.0,1.0,680.0,142360.0,79,62,2017,3.0,1.0,131100.00
10846,2018-10-16,1172442,269354.26,91463,2.0,2.0,917.0,135099.0,79,21,2014,6.0,3.0,272898.20
10859,2018-10-16,1172138,168867.74,105500,1.0,1.0,735.0,134213.0,79,77,2018,2.0,1.0,116450.00
10879,2018-10-16,1174549,129097.29,74736,1.0,1.0,1036.0,79984.0,79,56,2017,4.0,2.0,55100.00
10880,2018-10-16,1171642,766542.97,289524,2.0,2.0,1255.0,373671.0,79,45,2016,4.0,2.0,315000.00
10898,2018-10-16,1172408,222871.51,233757,2.0,2.0,1316.0,283843.0,79,58,2017,3.0,1.0,225042.56
10900,2018-10-15,1170515,969066.94,639500,2.0,2.0,1322.0,666402.0,97,10,2012,5.0,2.0,1008980.18
10905,2018-10-15,1159464,488284.05,380000,2.0,2.0,1450.0,509503.0,97,57,2017,2.0,1.0,449000.00
10910,2018-10-15,1168960,661778.58,264241,3.0,2.0,1428.0,424877.0,97,20,2014,4.0,2.0,340425.00
10954,2018-10-15,1160020,180542.99,91670,1.0,1.0,710.0,276900.0,97,61,2017,2.0,1.0,95580.00
10964,2018-10-15,1169105,411297.37,201250,2.0,2.0,1520.0,264555.0,97,1,2008,5.0,5.0,215000.00
10976,2018-10-15,1171107,145655.13,132223,2.0,1.0,1026.0,353500.0,97,64,2017,6.0,1.0,131600.00
10987,2018-10-15,1172124,215301.03,195879,1.0,1.0,825.0,243333.0,97,50,2016,6.0,3.0,199000.00
11073,2018-10-09,1163216,298796.92,130950,2.0,1.0,968.0,177727.0,70,32,2016,4.0,1.0,136080.00
11089,2018-10-09,1169890,262293.12,150300,2.0,2.0,1083.0,198815.0,70,65,2018,3.0,1.0,164000.00
11113,2018-10-09,1159157,260910.38,119000,2.0,2.0,877.0,280800.0,70,14,2014,4.0,1.0,137280.00
11143,2018-10-03,1169829,112855.59,108000,2.0,2.0,758.0,140479.0,76,45,2017,6.0,1.0,109650.00
11144,2018-10-03,1169743,395852.55,272186,1.0,1.0,829.0,415600.0,76,65,2018,6.0,1.0,398402.50
11154,2018-10-03,1168793,251682.38,135800,2.0,1.0,1156.0,190118.0,76,20,2015,11.0,7.0,287478.13
11155,2018-10-03,1172053,448010.56,161088,2.0,2.0,1383.0,221300.0,76,24,2016,7.0,1.0,153000.00
11159,2018-10-03,1172114,263258.38,113500,2.0,1.0,998.0,140438.0,76,19,2015,4.0,1.0,126000.00
11167,2018-10-03,1168787,288188.64,107640,0.0,0.0,1149.0,133811.0,76,41,2017,6.0,3.0,304843.26
11170,2018-10-03,1169818,298857.34,197000,3.0,2.0,1070.0,239665.0,76,73,2018,5.0,1.0,223000.00
11171,2018-10-03,1169123,379118.09,213000,3.0,2.0,1790.0,256872.0,76,57,2017,5.0,1.0,241000.00
11182,2018-10-03,1169893,824112.7,314780,2.0,2.0,1174.0,417829.0,76,5,2010,4.0,3.0,277304.00
11183,2018-10-02,1166134,516379.11,275000,0.0,0.0,1120.0,329443.0,72,32,2015,6.0,7.0,315000.00
11210,2018-10-02,1169477,504452.97,363696,2.0,2.0,1267.0,752681.0,72,31,2015,6.0,2.0,504452.97
11218,2018-10-02,1169812,202682.02,143000,0.0,0.0,762.0,184509.0,72,71,2018,4.0,1.0,199000.00
11266,2018-10-01,1157052,315002.15,221299,1.0,1.0,736.0,298795.0,64,27,2016,3.0,1.0,225000.00
11291,2018-10-01,1161877,619766.92,358700,2.0,2.0,1824.0,609543.0,64,13,2015,6.0,1.0,619766.92
11331,2018-09-26,1167633,186557.45,118720,2.0,2.0,798.0,293000.0,113,24,2014,8.0,1.0,129000.00
11336,2018-09-26,1168399,673784.95,313100,3.0,3.0,1840.0,503911.0,113,88,2017,6.0,1.0,453000.00
11349,2018-09-26,1165480,400914.55,286400,2.0,2.0,1673.0,363037.0,113,13,2012,4.0,6.0,338600.00
11407,2018-09-26,1167389,202323.15,149000,2.0,2.0,1060.0,212314.0,113,83,2017,7.0,1.0,152000.00
11417,2018-09-25,1160792,309601.18,224539,0.0,1.0,868.0,195627.0,34,26,2017,5.0,2.0,237705.78
11480,2018-09-24,1156801,410562.62,219252,2.0,2.0,1052.0,408700.0,51,44,2017,4.0,1.0,270040.00
11497,2018-09-18,1169183,398627.69,177555,1.0,1.0,890.0,255591.0,78,68,2017,2.0,1.0,233750.00
