,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Status Binary
18818,2017-10-17,1107030,329745.66,89059,340125.87,1.0,1.0,810.0,141508.0,34,1,2009,5.0,8.0,0.0
18825,2017-10-17,1104685,282800.05,96970,89100.00,1.0,1.0,555.0,112428.0,34,15,2016,4.0,1.0,1.0
18826,2017-10-17,1107032,509460.56,235290,521654.81,4.0,3.0,1475.0,258439.0,34,14,2016,2.0,4.0,0.0
18919,2017-10-13,1110517,220800.39,99360,107200.00,2.0,1.0,784.0,130939.0,35,32,2017,2.0,1.0,1.0
18920,2017-10-13,1110845,270865.19,117420,121323.30,2.0,2.0,1100.0,147676.0,35,1,2009,4.0,1.0,1.0
18924,2017-10-13,1110269,91165.63,116622,91165.63,2.0,2.0,870.0,136673.0,35,12,2016,7.0,1.0,1.0
18927,2017-10-13,1094550,194359.82,230400,197667.29,1.0,2.0,890.0,383824.0,35,30,2017,5.0,2.0,0.0
18951,2017-10-11,1105717,145610.17,122100,120341.35,1.0,1.0,978.0,140187.0,80,63,2016,3.0,2.0,1.0
18981,2017-10-11,1105141,311648.15,113787,323012.63,1.0,1.0,699.0,119064.0,80,56,2016,4.0,4.0,1.0
19005,2017-10-11,1113093,11169.89,84700,11169.89,1.0,1.0,553.0,275900.0,80,55,2016,4.0,1.0,1.0
19013,2017-10-11,1100701,199539.38,120000,135000.00,2.0,2.0,1166.0,150448.0,80,67,2016,4.0,1.0,1.0
19053,2017-10-10,1094077,422258.78,205373,203752.30,3.0,2.0,1470.0,258161.0,79,25,2014,4.0,8.0,0.0
19054,2017-10-10,1110460,8762.79,105057,14217.15,1.0,1.0,709.0,786500.0,79,70,2016,1.0,4.0,1.0
19059,2017-10-10,1112109,206902.0,156450,208177.68,2.0,2.0,845.0,183480.0,79,79,2017,2.0,5.0,0.0
19091,2017-10-10,1110476,185768.44,105057,193455.04,1.0,1.0,709.0,786500.0,79,43,2015,5.0,5.0,0.0
19095,2017-10-06,1110283,352952.11,102860,352952.11,3.0,2.0,1033.0,195172.0,67,47,2016,7.0,3.0,0.0
19097,2017-10-06,1109824,280607.25,124000,282542.50,2.0,2.0,1077.0,148200.0,67,59,2017,4.0,1.0,1.0
19101,2017-10-06,1109534,39518.0,222770,39518.00,2.0,2.0,1090.0,333402.0,67,10,2013,1.0,3.0,0.0
19103,2017-10-06,1108142,25030.0,87264,26800.00,2.0,2.0,1315.0,111558.0,67,36,2016,1.0,3.0,1.0
19112,2017-10-06,1110296,204068.74,84222,60750.00,1.0,1.0,465.0,78816.0,67,55,2017,3.0,1.0,1.0
19115,2017-10-06,1109823,351884.1,359400,353678.34,2.0,2.0,2154.0,375800.0,67,67,2017,3.5,1.0,1.0
19116,2017-10-06,1109582,283333.85,261000,314289.99,2.0,2.0,1950.0,341510.0,67,3,2012,2.0,1.0,1.0
19127,2017-10-06,1110291,129959.52,87980,62812.76,1.0,1.0,576.0,100059.0,67,61,2017,4.0,1.0,1.0
19133,2017-10-06,1110577,42757.12,357319,42757.12,0.0,0.0,1760.0,750253.0,67,63,2017,1.0,4.0,0.0
19134,2017-10-06,1110263,169654.97,205000,173829.52,3.0,2.0,1313.0,249699.0,67,56,2017,7.0,3.0,0.0
19173,2017-10-05,1100939,28284.34,80000,28284.34,1.0,1.0,830.0,93086.0,51,25,2016,1.0,2.0,1.0
19229,2017-10-04,1109165,72113.32,140000,72113.32,3.0,2.0,1160.0,170484.0,57,21,2015,1.0,3.0,0.0
19230,2017-10-04,1109348,407670.43,221377,245000.00,1.0,1.0,825.0,256629.0,57,55,2017,15.0,1.0,1.0
19242,2017-10-03,1104127,122115.09,88000,123639.79,2.0,1.0,863.0,73342.0,55,41,2016,5.0,1.0,1.0
19246,2017-10-03,1098409,352394.82,246159,259900.00,0.0,2.0,1155.0,308537.0,55,1,2012,3.0,3.0,1.0
19253,2017-10-03,1098411,130728.07,104509,125000.00,1.0,1.0,639.0,127315.0,55,6,2013,7.0,2.0,1.0
19277,2017-10-03,1092534,202423.95,178900,139251.30,1.0,1.0,442.0,231126.0,55,37,2016,11.0,1.0,1.0
19296,2017-10-02,1104107,324305.99,141750,124740.00,2.0,2.0,1106.0,181310.0,70,24,2014,3.0,2.0,1.0
19301,2017-10-02,1109862,260213.93,180000,211430.57,2.0,1.0,703.0,236435.0,70,57,2016,5.0,1.0,1.0
19303,2017-10-02,1109640,247478.34,227703,257349.53,2.0,1.0,1116.0,246203.0,70,44,2015,4.0,5.0,1.0
19349,2017-10-02,1109145,406156.12,390083,411156.12,2.0,2.0,1290.0,427200.0,70,70,2017,5.0,4.0,0.0
19352,2017-10-02,1098256,338802.4,206300,350696.53,2.0,2.0,1086.0,383200.0,70,36,2015,3.0,2.0,1.0
19361,2017-09-29,1107767,160718.62,105672,135000.00,2.0,2.0,1050.0,167100.0,27,1,2010,5.0,1.0,1.0
19372,2017-09-29,1106732,42530.85,123466,43879.36,1.0,1.0,779.0,156538.0,27,2,2013,9.0,2.0,0.0
19374,2017-09-29,1107765,253338.25,159000,145237.24,3.0,2.0,1558.0,251211.0,27,23,2016,5.0,1.0,1.0
19391,2017-09-28,1107817,251035.92,122000,145000.00,2.0,1.0,1008.0,159408.0,52,34,2016,8.0,2.0,1.0
19410,2017-09-28,1103493,173962.77,94600,64100.00,2.0,2.0,800.0,95437.0,52,18,2014,2.0,1.0,1.0
19416,2017-09-28,1107774,8981.6,110000,9876.60,3.0,2.0,1194.0,152992.0,52,26,2015,9.0,5.0,1.0
19445,2017-09-26,1107283,111460.62,73746,43528.48,1.0,1.0,670.0,89271.0,57,41,2016,3.0,1.0,1.0
19456,2017-09-26,1106927,140286.23,51181,108364.64,3.0,2.0,1125.0,133683.0,57,26,2015,4.0,2.0,0.0
19468,2017-09-26,1107779,103003.06,142200,104208.10,2.0,2.0,970.0,151075.0,57,54,2017,5.0,1.0,1.0
19492,2017-09-25,1107927,531291.56,178000,185000.00,1.0,1.0,1000.0,236709.0,55,55,2017,9.0,1.0,1.0
19496,2017-09-25,1089770,216314.01,145008,236272.50,2.0,1.0,826.0,175129.0,55,12,2014,7.0,10.0,0.0
19506,2017-09-25,1097298,177254.16,149930,148573.58,3.0,2.0,1220.0,177874.0,55,33,2016,4.0,2.0,0.0
19515,2017-09-25,1096362,75554.11,47355,80603.96,1.0,1.0,704.0,56503.0,55,20,2015,5.0,7.0,0.0
19627,2017-09-20,1105811,344088.26,196000,266875.00,1.0,2.0,912.0,263544.0,55,11,2013,3.0,6.0,0.0
19680,2017-09-19,1102763,333723.74,292110,333723.74,1.0,1.0,659.0,403957.0,57,42,2016,4.0,1.0,0.0
19731,2017-09-18,1106479,428270.38,148245,428270.38,1.0,1.0,1056.0,285073.0,62,60,2017,4.0,4.0,0.0
19769,2017-09-18,1089725,190106.36,183274,139112.00,4.0,3.0,1681.0,131732.0,62,53,2016,4.0,3.0,0.0
19770,2017-09-18,1102285,666575.41,295400,666575.41,3.0,3.0,1611.0,427876.0,62,48,2016,6.0,2.0,0.0
19818,2017-09-14,1106783,285638.76,60389,285638.76,1.0,1.0,699.0,129002.0,89,35,2016,4.0,1.0,0.0
19858,2017-09-13,1105067,260797.2,22975,34800.00,1.0,1.0,603.0,153687.0,52,4,2010,5.0,2.0,0.0
19863,2017-09-13,1103829,317149.1,315152,319375.76,2.0,2.0,1058.0,414744.0,52,43,2017,5.0,1.0,0.0
19864,2017-09-13,1104375,187078.08,91290,73851.40,2.0,2.0,940.0,111449.0,52,23,2016,4.0,2.0,0.0
19868,2017-09-13,1104681,121249.52,132000,121249.52,1.0,1.0,767.0,160105.0,52,40,2016,7.0,2.0,0.0
19888,2017-09-13,1104632,275565.47,112000,97200.00,1.0,1.0,680.0,131539.0,52,17,2014,9.0,2.0,0.0
19893,2017-09-13,1103600,308686.97,56210,308686.97,1.0,1.0,375.0,94117.0,52,39,2016,19.0,2.0,0.0
