,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
5946,2019-07-16,1218735,70638.51,157740,71466.78,3.0,2.0,1040.0,187640.0,36,22,2017,5.0,1.0,161000.0
6065,2019-07-10,1217737,67249.44,135571,61782.00,1.0,1.0,712.0,162232.0,40,35,2018,3.0,1.0,127300.0
6179,2019-07-03,1216199,451887.84,225623,221250.00,2.0,2.0,1311.0,302779.0,35,34,2019,4.0,1.0,242100.0
6235,2019-07-01,1200392,291042.26,144000,146960.00,2.0,2.0,1120.0,190535.0,85,45,2017,8.0,1.0,155100.0
6319,2019-06-26,1206917,15186.9,99000,15186.90,2.0,2.0,1160.0,134304.0,25,12,2018,1.0,2.0,89700.0
6339,2019-06-25,1213985,492008.76,158400,219900.00,0.0,0.0,960.0,256200.0,31,5,2010,4.0,5.0,220000.0
6419,2019-06-19,1214515,324697.54,149100,135000.00,2.0,2.0,1415.0,202300.0,17,14,2018,18.0,1.0,138200.0
6427,2019-06-19,1208775,169105.89,123375,125550.00,1.0,1.0,780.0,170774.0,17,11,2018,2.0,1.0,127600.0
6442,2019-06-18,1212609,335622.34,132000,129600.00,2.0,2.0,897.0,168108.0,31,14,2016,6.0,2.0,137000.0
6467,2019-06-17,1214312,144611.63,108989,115800.00,2.0,2.0,1064.0,184742.0,84,63,2018,19.0,1.0,126100.0
6486,2019-06-17,1213027,15113.58,424040,10113.58,2.0,2.0,1134.0,407100.0,84,76,2018,1.0,2.0,114900.0
6566,2019-06-11,1213072,13108.94,73509,13600.00,1.0,1.0,1036.0,94803.0,24,21,2018,1.0,1.0,63800.0
6658,2019-06-05,1210207,189967.74,215280,195540.69,3.0,2.0,1420.0,288414.0,45,35,2018,5.0,3.0,234100.0
6756,2019-06-03,1207224,392444.41,342854,255300.00,2.0,2.0,1464.0,364700.0,88,34,2017,7.0,3.0,260100.0
6799,2019-05-29,1196027,144871.19,194300,149054.95,2.0,2.0,996.0,205439.0,19,9,2017,2.5,1.0,149100.0
6808,2019-05-28,1206919,252883.22,124900,117334.00,3.0,2.0,1195.0,170686.0,98,65,2018,4.0,1.0,156200.0
6903,2019-05-22,1208754,30070.4,59500,31309.40,2.0,2.0,960.0,91266.0,36,22,2017,2.0,3.0,47100.0
6939,2019-05-21,1210043,44326.33,216000,44990.51,1.0,1.0,969.0,259767.0,39,32,2018,1.0,1.0,55600.0
6956,2019-05-21,1207718,301024.18,309049,310543.39,2.0,2.0,1158.0,403721.0,39,38,2018,21.0,2.0,310600.0
6971,2019-05-20,1194798,233619.36,141750,143500.00,2.0,2.0,1106.0,169882.0,54,38,2018,4.0,1.0,147600.0
6979,2019-05-20,1209654,156098.9,191232,157082.05,2.0,2.0,1036.0,303844.0,54,52,2019,3.0,1.0,186200.0
7000,2019-05-20,1209628,473316.6,207820,214200.00,0.0,0.0,1064.0,407700.0,54,31,2017,3.0,1.0,214600.0
7016,2019-05-15,1207554,279887.5,240521,236523.00,1.0,1.0,945.0,488949.0,34,33,2018,4.0,1.0,236600.0
