,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
11930,2018-08-28,1163424,75900.23,87700,80882.67,3.0,2.0,1150.0,0.0,156697.0,92,27,2015,1.0,11.0,6.0,80100.0
11934,2018-08-28,1164105,363648.76,190000,224241.01,3.0,2.0,1115.0,1706.0,228260.0,92,63,2017,1.0,3.0,1.0,223200.0
11938,2018-08-28,1163880,408879.48,269131,254900.00,4.0,2.0,1828.0,3760.0,334646.0,92,1,2009,0.0,3.0,5.0,253100.0
11941,2018-08-28,1163920,704993.41,563460,582300.00,4.0,3.0,2354.0,22899.0,740190.0,92,13,2013,1.0,2.0,4.0,462200.0
11944,2018-08-28,1164158,262461.49,180300,269578.53,3.0,2.0,1451.0,0.0,232181.0,92,62,2017,1.0,6.0,3.0,268100.0
11947,2018-08-28,1164233,425399.69,427038,440399.69,4.0,4.0,5046.0,72527.4,553312.0,92,88,2018,0.0,3.0,2.0,250100.0
11950,2018-08-28,1165699,347017.81,259111,329000.00,5.0,3.0,2524.0,4500.0,412548.0,92,90,2018,1.0,5.5,1.0,100.0
11955,2018-08-28,1165245,370081.93,166703,210000.00,2.0,1.0,1745.0,6840.0,267183.0,92,68,2017,0.0,2.0,1.0,205100.0
11956,2018-08-28,1164104,973456.0,480600,600000.00,1.0,1.0,900.0,0.0,436000.0,92,69,2017,1.0,4.0,1.0,500100.0
11960,2018-08-28,1164493,311524.09,115280,139000.00,2.0,2.0,1024.0,0.0,154060.0,92,80,2017,1.0,3.0,1.0,130100.0
11976,2018-08-27,1162147,272800.62,159700,275536.62,1.0,1.0,510.0,0.0,205922.0,80,66,2017,1.0,3.0,1.0,6100.0
11994,2018-08-27,1150925,1305090.53,621496,653883.86,3.0,2.0,2440.0,0.0,679043.0,80,7,2012,1.0,4.0,2.0,356400.0
11998,2018-08-27,1160794,220309.6,160920,148169.98,2.0,2.0,954.0,0.0,216588.0,80,13,2014,1.0,5.0,4.0,100100.0
12038,2018-08-22,1159955,217368.37,155550,230310.39,1.0,1.0,679.0,0.0,245176.0,52,21,2016,1.0,2.0,6.0,229100.0
12042,2018-08-22,1163497,694664.34,766557,706060.68,5.0,5.0,6174.0,14742.0,903565.0,52,15,2015,1.0,7.0,2.0,325700.0
12060,2018-08-22,1163531,411984.31,148000,79625.00,0.0,0.0,0.0,9250.0,285000.0,52,22,2016,0.0,5.0,1.0,75100.0
12072,2018-08-22,1163688,205062.12,114250,144966.00,3.0,3.0,1423.0,0.0,163700.0,52,18,2016,1.0,8.0,2.0,140100.0
12096,2018-08-21,1164234,1335523.36,1117617,1125000.00,5.0,5.0,3507.0,10811.85,1804581.0,59,45,2017,0.0,2.0,2.0,11600.0
12106,2018-08-21,1163739,178561.92,140804,141300.00,2.0,2.0,900.0,0.0,155490.0,59,42,2017,1.0,4.0,1.0,140100.0
12111,2018-08-21,1163545,479276.29,279864,375000.00,2.0,2.0,1362.0,0.0,400544.0,59,19,2015,1.0,3.0,2.0,370100.0
12116,2018-08-21,1162910,152122.32,90000,126000.00,2.0,2.0,1028.0,2039.0,142747.0,59,30,2016,1.0,4.0,3.0,125100.0
12137,2018-08-21,1164842,872900.12,541261,872900.12,8.0,4.0,2460.0,5000.0,177625.0,59,13,2013,0.0,3.0,1.0,500100.0
12142,2018-08-21,1163720,186464.61,122364,123975.05,2.0,2.0,1113.0,0.0,146457.0,59,40,2017,1.0,4.0,2.0,120100.0
12181,2018-08-20,1160818,1295085.34,2206000,1349579.78,3.0,3.0,3075.0,0.0,368100.0,67,64,2018,0.0,1.0,1.0,205100.0
12194,2018-08-20,1166246,312783.88,212690,235000.00,3.0,2.0,1325.0,8528.0,248136.0,67,54,2017,1.0,10.0,3.0,230100.0
12227,2018-08-15,1163869,185072.46,221547,185072.46,3.0,2.0,1365.0,6060.0,272023.0,30,30,2017,1.0,3.5,1.0,123800.0
12232,2018-08-15,1159046,288154.18,138258,190350.00,3.0,2.0,1747.0,2025.0,243328.0,30,11,2015,1.0,5.0,3.0,189100.0
12234,2018-08-14,1158850,255450.21,209598,269907.27,2.0,1.0,1020.0,6750.0,292403.0,33,24,2017,0.0,2.0,3.0,265100.0
12236,2018-08-14,1139725,694670.12,682000,714000.12,2.0,2.0,1623.0,0.0,758089.0,33,20,2016,1.0,8.0,1.0,500100.0
