,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Status Binary
15369,2018-03-27,1138336,155396.48,262606,165539.26,3.0,2.0,1786.0,5382.0,355399.0,50,29,2016,1.0,20.0,4.0,1.0
15370,2018-03-27,1137927,19805.27,195700,23300.00,2.0,2.0,1235.0,0.0,246033.0,50,37,2016,1.0,3.0,3.0,1.0
15373,2018-03-27,1139148,365787.0,367400,395127.00,2.0,2.0,952.0,0.0,292200.0,50,48,2017,1.0,4.0,4.0,1.0
15384,2018-03-26,1135122,264150.7,238324,266936.34,3.0,2.0,1444.0,7950.0,278025.0,60,60,2017,0.0,2.0,3.0,0.0
15387,2018-03-26,1135000,288254.13,130950,129600.00,2.0,1.0,968.0,0.0,188658.0,60,37,2016,1.0,5.0,3.0,1.0
15395,2018-03-26,1139143,418843.03,310859,418843.00,2.0,2.0,1552.0,0.0,433458.0,60,14,2015,1.0,5.0,4.0,1.0
15405,2018-03-26,1121872,370516.16,223177,198450.00,3.0,2.0,1367.0,7927.0,288912.0,60,40,2016,0.0,2.0,1.0,1.0
15407,2018-03-26,1121456,407464.78,162400,138150.00,1.0,1.0,802.0,5460.0,209017.0,60,45,2016,1.0,6.0,1.0,1.0
15408,2018-03-26,1121700,146924.74,99395,80500.00,1.0,1.0,760.0,0.0,135500.0,60,27,2016,1.0,3.0,1.0,1.0
15413,2018-03-26,1137331,125437.3,256172,125437.30,2.0,1.0,1025.0,9075.0,287945.0,60,44,2016,0.0,6.0,4.0,1.0
15414,2018-03-26,1134647,5489084.53,4858642,6035113.78,7.0,7.0,13963.0,41185.0,6592881.0,60,10,2014,1.0,5.0,4.0,0.0
15415,2018-03-26,1121315,126926.38,128186,130017.18,3.0,2.0,966.0,5000.0,181984.0,60,39,2016,0.0,3.0,1.0,1.0
15417,2018-03-26,1137936,140655.1,156588,149876.12,3.0,1.0,1092.0,8400.0,195230.0,60,25,2015,0.0,3.0,2.0,1.0
15422,2018-03-26,1137108,233060.69,94008,205000.00,2.0,1.0,2160.0,6500.0,241131.0,60,17,2015,0.0,1.0,5.0,0.0
