,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Plaintiff Max Bid
3896,2019-11-20,1237730,362319.5,486405,2.0,0.0,1570.0,363300.0,31,25,2019,3.0,4.0,362319.50
3914,2019-11-20,1229323,597504.53,331600,2.0,2.0,1425.0,396572.0,31,5,2014,4.0,5.0,359590.00
3915,2019-11-19,1234433,3592831.35,3033945,3.0,3.0,4000.0,4013170.0,19,15,2018,14.0,1.0,3592831.35
3921,2019-11-19,1236266,30140.95,206500,3.0,2.0,1396.0,239595.0,19,12,2018,2.0,2.0,217000.00
3929,2019-11-19,1236868,50662.31,164780,3.0,2.0,1150.0,218803.0,19,6,2017,2.0,5.0,5000.00
3940,2019-11-18,1234431,276750.74,154000,2.0,2.0,1061.0,190303.0,49,16,2016,7.0,1.0,166500.00
3949,2019-11-18,1236770,20490.66,179388,2.0,2.0,1542.0,374016.0,49,43,2018,1.0,3.0,29520.76
3952,2019-11-18,1235992,38664.41,101100,1.0,1.0,741.0,142460.0,49,42,2018,5.0,1.0,39000.21
3956,2019-11-18,1235990,146063.32,88900,1.0,1.0,533.0,123079.0,49,46,2018,3.0,1.0,80803.62
3962,2019-11-18,1230603,421692.06,255000,1.0,1.0,1005.0,280988.0,49,28,2017,3.0,4.0,440356.83
3975,2019-11-18,1234714,91418.51,131250,2.0,2.0,900.0,291100.0,49,38,2018,3.0,3.0,99849.05
3980,2019-11-13,1212883,211614.43,100000,2.0,2.0,1048.0,133014.0,35,22,2018,3.0,1.0,117000.00
3992,2019-11-13,1234545,204521.13,141800,2.0,1.0,1140.0,192542.0,35,25,2018,5.0,2.0,190000.00
3998,2019-11-13,1214538,231257.06,183970,2.0,2.0,1050.0,249318.0,35,23,2018,7.0,1.0,217787.00
4003,2019-11-13,1234554,327013.3,181300,3.0,2.0,1253.0,231056.0,35,21,2018,4.0,2.0,233000.00
4031,2019-11-12,1223201,777444.54,438964,2.0,2.0,1547.0,756898.0,109,44,2017,5.0,1.0,795325.34
4053,2019-11-12,1224867,219589.93,136705,2.0,2.0,1190.0,199865.0,109,97,2019,5.0,1.0,122500.00
4057,2019-11-12,1232183,469165.83,688480,0.0,0.0,5296.0,204000.0,109,105,2019,11.0,2.0,469165.83
4060,2019-11-12,1228059,2461958.74,983400,0.0,0.0,1912.0,1280304.0,109,11,2014,7.0,1.0,1100000.00
