,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
2300,2020-02-26,1250800,36510.8,486419,2.0,2.0,1239.0,400600.0,30,30,2019,1.0,1.0,37700.0
2307,2020-02-25,1250774,333994.36,42762,2.0,1.0,1085.0,123029.0,16,7,2018,6.0,1.0,44800.0
2312,2020-02-25,1239700,179836.79,175600,2.0,2.0,1304.0,194020.0,16,9,2019,3.0,1.0,161900.0
2332,2020-02-24,1248226,44910.63,143000,4.0,2.0,1846.0,172700.0,56,14,2017,1.0,3.0,45000.0
2336,2020-02-24,1249364,157106.69,90000,1.0,1.0,768.0,348200.0,56,43,2019,7.0,1.0,1400.0
2338,2020-02-24,1238875,715441.73,284400,1.0,1.0,896.0,477655.0,56,11,2016,3.0,1.0,270200.0
2345,2020-02-24,1243150,34715.54,89000,2.0,2.0,1594.0,423862.0,56,42,2019,7.0,2.0,243100.0
2351,2020-02-24,1250236,155103.38,42762,2.0,1.0,1086.0,132050.0,56,46,2019,3.0,1.0,66200.0
2358,2020-02-24,1240471,1865527.99,1692900,2.0,2.0,2605.0,1720741.0,56,41,2019,5.0,1.0,1004100.0
2360,2020-02-24,1249818,9662.46,92988,2.0,2.0,1315.0,121477.0,56,56,2019,1.0,2.0,72400.0
2363,2020-02-24,1249947,107747.88,116676,2.0,1.0,981.0,309502.0,56,17,2017,2.0,2.0,41300.0
2364,2020-02-24,1249200,259748.37,148000,1.0,1.0,1230.0,176394.0,56,2,2011,6.0,1.0,100.0
2378,2020-02-19,1248600,269354.26,91463,2.0,2.0,917.0,155708.0,36,3,2014,6.0,3.0,72800.0
2386,2020-02-19,1249208,3174627.44,876755,3.0,3.0,1641.0,400600.0,36,35,2019,4.5,1.0,1700.0
2390,2020-02-19,1250246,259507.48,123396,2.0,2.0,817.0,254000.0,36,25,2019,9.0,1.0,50400.0
2391,2020-02-19,1250048,131682.31,62481,1.0,1.0,870.0,275600.0,36,24,2019,7.0,1.0,50100.0
2393,2020-02-19,1249604,439106.82,244207,2.0,2.0,1470.0,398686.0,36,29,2019,3.0,1.0,150100.0
2395,2020-02-19,1250039,222061.17,148177,2.0,2.0,1037.0,242340.0,36,33,2019,3.0,1.0,51100.0
2397,2020-02-19,1249616,91418.51,131250,2.0,2.0,900.0,293500.0,36,20,2018,3.0,3.0,150300.0
2399,2020-02-19,1248623,2095226.97,1695450,3.0,2.0,2340.0,742900.0,36,7,2016,5.0,2.0,2124142.53
2405,2020-02-19,1249603,238993.18,71311,1.0,1.0,647.0,139443.0,36,28,2019,3.0,1.0,104700.0
