,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Plaintiff Max Bid
13307,2018-06-27,1154166,213061.88,136800,2.0,2.0,1275.0,195528.0,54,3,2011,4.0,4.0,95732.82
13331,2018-06-25,1149655,199242.71,95809,0.0,1.0,355.0,331500.0,53,52,2017,2.0,1.0,92340.00
13344,2018-06-22,1145334,281337.68,121920,2.0,2.0,1100.0,157007.0,39,18,2016,58.0,1.0,150000.00
13350,2018-06-22,1140447,414096.68,160930,2.0,2.0,600.0,264500.0,39,30,2017,3.0,1.0,175400.00
13440,2018-06-19,1149388,312180.18,176800,3.0,2.0,1190.0,197400.0,12,11,2017,4.0,3.0,170100.00
13579,2018-06-12,1151838,220604.58,93000,2.0,2.0,822.0,112451.0,50,24,2016,8.0,1.0,81249.50
13587,2018-06-12,1148206,57970.66,95000,1.0,0.0,432.0,119673.0,50,46,2017,10.0,1.0,57970.66
13747,2018-06-04,1149098,262439.23,130000,2.0,2.0,979.0,337300.0,73,62,2017,4.0,1.0,109200.00
13815,2018-06-01,1150029,275565.47,112000,1.0,1.0,680.0,141275.0,67,15,2014,9.0,2.0,106920.00
13841,2018-06-01,1150173,278008.05,165700,2.0,2.0,1144.0,236092.0,67,48,2017,8.0,1.0,149113.60
14021,2018-05-24,1148636,113921.96,139340,2.0,2.0,955.0,348200.0,30,22,2017,6.0,1.0,108213.93
14081,2018-05-23,1148443,6924.35,162750,3.0,2.0,1325.0,195745.0,62,62,2018,1.0,1.0,6924.35
14126,2018-05-21,1148432,375315.46,282417,2.0,2.0,1117.0,380061.0,57,3,2009,5.0,6.0,314468.14
14150,2018-05-21,1145083,69633.18,52965,1.0,1.0,836.0,61028.0,57,55,2017,4.0,1.0,42800.00
14171,2018-05-18,1147352,115054.95,132190,2.0,2.0,882.0,201863.0,40,40,2018,4.0,1.0,115054.95
14177,2018-05-18,1147670,134727.98,122364,2.0,2.0,1113.0,146170.0,40,25,2016,8.0,1.0,103740.00
14243,2018-05-16,1131448,214415.55,112549,1.0,1.0,801.0,162516.0,47,16,2015,4.0,1.0,101250.00
14369,2018-05-11,1145923,115377.18,148983,2.0,2.0,1137.0,165179.0,62,59,2017,2.5,1.0,116677.18
14484,2018-05-02,1144254,130938.71,167400,2.0,2.0,996.0,186194.0,49,20,2014,3.0,5.0,144040.92
14635,2018-04-26,1144292,273197.46,361800,1.0,1.0,1102.0,443200.0,22,20,2017,5.0,1.0,275471.46
14673,2018-04-24,1143243,147977.53,99492,2.0,1.0,600.0,129746.0,46,43,2017,3.0,1.0,101400.00
14755,2018-04-23,1139600,205658.61,181440,3.0,2.0,1523.0,215274.0,59,55,2017,6.0,1.0,154600.00
14785,2018-04-19,1127257,206833.41,143260,2.0,2.0,1190.0,186703.0,61,13,2017,3.0,1.0,133000.00
14841,2018-04-17,1141743,21288.58,72332,2.0,1.0,1036.0,113296.0,50,44,2017,1.0,1.0,21700.00
14870,2018-04-16,1138933,357369.0,172855,2.0,2.0,1430.0,228920.0,64,55,2017,2.0,1.0,139965.00
14895,2018-04-16,1138851,547882.27,354000,2.0,2.0,1505.0,414615.0,64,59,2017,4.0,1.0,337565.69
14928,2018-04-13,1129609,73312.82,88500,1.0,1.0,900.0,121195.0,22,17,2017,8.0,1.0,73312.82
14986,2018-04-11,1139784,508546.16,297128,2.0,2.0,1362.0,469633.0,64,30,2016,7.0,6.0,327250.00
14987,2018-04-11,1140370,212802.9,127500,1.0,1.0,574.0,519500.0,64,15,2014,6.0,1.0,111653.95
14993,2018-04-11,1140918,277195.18,210000,3.0,2.0,1464.0,246506.0,64,29,2016,4.0,1.0,210900.00
15010,2018-04-11,1141193,29264.37,182574,3.0,2.0,1523.0,216562.0,64,63,2017,1.0,1.0,29264.37
15054,2018-04-10,1109848,284051.98,142800,2.0,2.0,1415.0,193900.0,38,15,2015,4.0,1.0,131750.00
15142,2018-04-05,1139466,78895.14,90000,2.0,2.0,970.0,110255.0,113,21,2016,8.0,4.0,78895.14
15231,2018-04-03,1140169,186273.65,205000,3.0,2.0,1313.0,247523.0,10,10,2017,7.0,3.0,194686.49
15244,2018-04-02,1136917,225694.05,230000,2.0,2.0,1276.0,333799.0,44,38,2017,10.0,1.0,241400.00
15250,2018-04-02,1136716,169883.2,93450,2.0,1.0,860.0,160000.0,44,35,2016,5.0,1.0,52885.94
15373,2018-03-27,1139148,365787.0,367400,2.0,2.0,952.0,292200.0,50,48,2017,4.0,4.0,395127.00
15395,2018-03-26,1139143,418843.03,310859,2.0,2.0,1552.0,433458.0,60,14,2015,5.0,4.0,418843.00
15493,2018-03-22,1140931,360801.45,216000,3.0,2.0,1478.0,352843.0,38,22,2015,5.0,1.0,214900.00
15533,2018-03-21,1137228,16283.2,357319,0.0,0.0,1760.0,721845.0,72,62,2017,1.0,4.0,20210.07
