,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
933,2020-09-16,1267151,193321.49,141550,2.0,1.0,1201.0,6000.0,259657.0,5,3,2019,1.0,2.0,3.0,700.0
940,2020-09-14,1262009,986493.56,239517,3.0,2.0,2058.0,5225.0,480471.0,6,1,2014,0.0,2.0,3.0,349000.0
941,2020-09-14,1268927,421463.57,281000,0.0,0.0,1813.0,7000.0,254521.0,6,3,2017,0.0,7.0,1.0,185100.0
1068,2020-06-22,1259920,331613.49,350482,3.0,2.0,1920.0,9525.0,461809.0,22,11,2018,0.0,6.0,1.0,250100.0
1080,2020-06-15,1249817,415661.69,85400,3.0,2.0,1890.0,9042.0,281794.0,28,25,2019,0.0,2.0,1.0,208800.0
1129,2020-06-08,1257705,443543.95,310001,3.0,2.0,1720.0,2734.0,423359.0,32,25,2019,1.0,10.0,1.0,100.0
2067,2020-03-11,1252665,794372.31,430362,4.0,3.0,2400.0,5250.0,533438.0,16,1,2012,1.0,5.0,4.0,330700.0
2070,2020-03-11,1253047,247887.72,191524,3.0,1.0,1730.0,7612.5,264631.0,16,16,2019,0.0,18.0,1.0,30100.0
2071,2020-03-11,1252806,632108.0,214028,3.0,2.0,1830.0,4500.0,389462.0,16,4,2014,1.0,5.0,2.0,25100.0
2076,2020-03-11,1252652,989777.06,421240,5.0,4.0,2700.0,5750.0,421984.0,16,3,2014,0.0,5.0,2.0,11100.0
2087,2020-03-10,1245133,333108.22,275696,3.0,2.0,1495.0,5200.0,392860.0,55,10,2017,0.0,3.0,8.0,283800.0
2094,2020-03-10,1249092,239976.66,165026,4.0,2.0,1752.0,10000.0,276498.0,55,13,2017,1.0,3.0,5.0,160800.0
2110,2020-03-09,1249587,382053.05,316753,2.0,1.0,1847.0,9579.0,369394.0,66,49,2019,0.0,2.0,1.0,290000.0
2127,2020-03-09,1249632,287870.2,170932,3.0,2.0,1504.0,10800.0,309831.0,66,10,2014,1.0,12.0,1.0,205200.0
2136,2020-03-09,1248128,319633.74,36886,3.0,2.0,932.0,5056.8,212871.0,66,27,2017,0.0,5.0,2.0,10100.0
2137,2020-03-09,1240641,446475.03,242477,3.0,2.0,2799.0,7013.0,231227.0,66,21,2017,1.0,4.0,1.0,196800.0
2162,2020-03-04,1250677,5006477.0,3146000,0.0,0.0,9527.0,81487.0,577089.0,57,27,2018,0.0,7.0,2.0,838200.0
2166,2020-03-04,1251468,473003.28,222459,3.0,2.0,1620.0,8276.0,370900.0,57,12,2017,1.0,8.0,1.0,285100.0
2190,2020-03-04,1251919,615117.49,414898,4.0,4.0,3053.0,5500.0,553179.0,57,28,2018,1.0,4.0,2.0,35100.0
2218,2020-03-03,1250072,190855.94,91700,4.0,2.0,1462.0,10650.0,218438.0,8,2,2014,0.0,45.0,3.0,170000.0
2226,2020-03-02,1250243,598750.7,530992,4.0,3.0,3349.0,8625.0,828985.0,59,9,2017,0.0,1.0,12.0,400100.0
2231,2020-03-02,1251707,1088950.76,619635,5.0,3.0,3720.0,17250.0,825695.0,59,56,2019,1.0,3.0,1.0,560100.0
2247,2020-03-02,1250344,1736037.67,1171858,6.0,6.0,5656.0,12500.0,1806420.0,59,5,2014,0.0,11.0,2.0,1185100.0
2250,2020-03-02,1251277,515465.05,424177,3.0,2.0,2089.0,6950.0,440517.0,59,18,2018,0.0,6.0,2.0,69100.0
2252,2020-03-02,1247295,261843.84,169178,3.0,2.0,1165.0,5000.0,277154.0,59,26,2018,0.0,8.0,2.0,242100.0
2257,2020-03-02,1239751,522739.14,133588,2.0,2.0,1612.0,3800.0,389234.0,59,41,2019,0.0,2.0,1.0,3800.0
2270,2020-03-02,1240144,307087.02,228001,3.0,2.0,1754.0,2200.0,283156.0,59,8,2016,1.0,3.0,2.0,242300.0
2275,2020-03-02,1238038,350871.23,283317,4.0,2.0,1505.0,18159.0,362455.0,59,28,2018,0.0,8.0,1.0,296100.0
2296,2020-02-26,1249672,462880.87,254260,3.0,1.0,1262.0,6688.0,341508.0,30,10,2017,1.0,2.0,3.0,169100.0
2302,2020-02-26,1249169,395597.63,152711,3.0,2.0,1567.0,7500.0,315381.0,30,6,2014,0.0,2.0,3.0,204600.0
2309,2020-02-25,1247652,335318.94,102620,3.0,2.0,1791.0,6600.0,308055.0,16,12,2019,0.0,7.0,1.0,216000.0
2311,2020-02-25,1248054,283425.37,195604,2.0,1.0,1407.0,6752.46,204054.0,16,5,2016,0.0,7.0,4.0,182100.0
2318,2020-02-25,1243588,231567.05,97978,3.0,1.0,864.0,7800.0,224578.0,16,4,2015,0.0,2.0,2.0,120100.0
2329,2020-02-24,1234514,840446.56,337027,3.0,1.0,1804.0,12690.0,389064.0,56,6,2014,0.0,15.0,1.0,283100.0
2333,2020-02-24,1250052,416749.95,200811,4.0,2.0,2056.0,9075.0,422290.0,56,47,2019,0.0,4.0,1.0,350100.0
2384,2020-02-19,1248190,239149.66,101912,3.0,2.0,1551.0,6105.0,313018.0,36,22,2018,0.0,3.0,4.0,156300.0
2412,2020-02-18,1249382,526506.44,324623,3.0,2.0,2050.0,7500.0,429688.0,99,56,2018,0.0,4.0,4.0,2300.0
2419,2020-02-18,1231240,1357729.38,844417,5.0,4.0,3584.0,13266.0,980597.0,99,26,2016,1.0,6.0,1.0,1000.0
2424,2020-02-18,1246865,676185.68,180769,3.0,2.0,1616.0,7875.0,221133.0,99,16,2015,0.0,6.5,2.0,327700.0
2426,2020-02-18,1249618,348375.01,202176,3.0,1.0,1808.0,9750.0,331123.0,99,8,2013,1.0,10.0,1.0,217400.0
2431,2020-02-18,1247380,724785.79,463125,6.0,4.0,3472.0,5500.0,750007.0,99,44,2017,0.0,7.0,2.0,450100.0
2434,2020-02-18,1249569,247634.51,231285,4.0,3.0,1921.0,6031.0,293289.0,99,38,2017,1.0,3.0,1.0,175800.0
2438,2020-02-18,1247615,218779.91,73365,2.0,1.0,1026.0,9360.0,241099.0,99,98,2019,0.0,2.0,1.0,156700.0
2455,2020-02-18,1243176,528926.69,249843,3.0,2.0,1588.0,21120.0,357108.0,99,31,2017,0.0,3.0,1.0,1300.0
2456,2020-02-18,1249566,485038.82,315000,4.0,3.0,2306.0,2296.0,410101.0,99,64,2018,1.0,6.0,1.0,285100.0
