,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Status Binary
150,2021-01-13,1279200,1156745.09,723642,6.0,3.0,2931.0,16800.0,779475.0,38,13,2017,0.0,4.0,3.0,1.0
151,2021-01-13,1279169,322444.3,205247,3.0,2.0,1897.0,6448.0,291155.0,38,12,2017,1.0,7.0,1.0,1.0
152,2021-01-13,1280018,336604.75,88513,3.0,2.0,1385.0,5300.0,261215.0,38,16,2018,1.0,4.0,1.0,0.0
153,2021-01-13,1272420,322240.6,215880,3.0,2.0,2304.0,7500.0,361390.0,38,22,2018,1.0,1.0,2.0,0.0
154,2021-01-13,1279570,398745.6,154741,4.0,2.0,1881.0,3809.0,393463.0,38,17,2018,0.0,4.0,1.0,1.0
155,2021-01-13,1278206,144503.36,53777,2.0,1.0,912.0,3449.0,160095.0,38,8,2015,1.0,3.0,2.0,0.0
157,2021-01-13,1277288,572439.37,273717,3.0,2.0,1728.0,5000.0,443146.0,38,6,2014,1.0,3.0,6.0,0.0
158,2021-01-13,1274951,649038.13,439139,4.0,3.0,2439.0,18270.0,659680.0,38,5,2014,1.0,4.0,5.0,0.0
160,2021-01-13,1275630,407031.3,119231,3.0,2.0,1895.0,5000.0,304367.0,38,18,2018,1.0,4.0,3.0,0.0
161,2021-01-13,1275590,319144.65,255000,3.0,2.0,1683.0,1495.0,337577.0,38,11,2016,1.0,6.0,2.0,1.0
162,2021-01-13,1279819,416796.87,256126,4.0,2.0,2016.0,11061.0,240347.0,38,19,2018,1.0,4.0,3.0,0.0
166,2021-01-13,1272429,1501473.13,1205130,4.0,3.0,3304.0,36721.0,1913132.0,38,20,2018,0.0,5.0,2.0,0.0
168,2021-01-13,1280241,306510.07,286606,4.0,3.0,2118.0,2100.0,436388.0,38,36,2020,1.0,5.0,1.0,0.0
169,2021-01-13,1275592,494176.33,148018,3.0,2.0,1505.0,4646.0,366368.0,38,10,2016,1.0,5.0,2.0,1.0
170,2021-01-13,1278006,357224.49,210749,4.0,2.0,1946.0,3472.0,334501.0,38,31,2019,1.0,1.0,3.0,1.0
171,2021-01-13,1280109,213956.47,792000,2.0,3.0,3638.0,2825.0,1131601.0,38,27,2019,0.0,2.0,1.0,0.0
172,2021-01-13,1279687,1092017.13,1097257,5.0,5.0,5570.0,9375.0,538669.0,38,35,2020,0.0,2.0,1.0,0.0
177,2021-01-13,1278108,320431.62,231270,4.0,2.0,1753.0,7500.0,438359.0,38,23,2018,1.0,2.0,5.0,0.0
178,2021-01-13,1275190,389870.76,247805,3.0,2.0,1452.0,4920.0,387913.0,38,21,2018,0.0,2.0,1.0,1.0
180,2021-01-12,1278356,438129.47,85869,4.0,2.0,1789.0,6362.0,332859.0,41,21,2019,1.0,1.0,3.0,1.0
