,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Plaintiff Max Bid
15997,2018-03-05,1131334,119636.39,317734,3.0,1.0,1820.0,17695.0,192000.0,72,58,2016,1.0,3.0,8.0,122923.87
16000,2018-03-02,1135894,398991.43,272850,3.0,1.0,1232.0,9254.7,293350.0,19,2,2012,1.0,4.0,1.0,179000.00
16016,2018-03-01,1135013,829062.65,477063,5.0,4.0,4717.0,8328.0,602013.0,78,15,2016,1.0,6.0,2.0,570000.00
16022,2018-03-01,1135010,726201.94,334947,3.0,2.0,2504.0,18054.0,649738.0,78,20,2016,1.0,5.0,3.0,746690.32
16026,2018-03-01,1134222,556163.75,262027,4.0,2.0,1539.0,4800.0,351510.0,78,7,2014,1.0,7.0,3.0,381619.23
16030,2018-03-01,1134997,297314.74,148402,3.0,3.0,1810.0,6138.0,348066.0,78,3,2010,1.0,4.0,8.0,255242.00
16031,2018-03-01,1122077,650255.11,378227,3.0,3.0,2551.0,7568.0,455376.0,78,8,2015,0.0,6.0,3.0,650255.11
16033,2018-03-01,1135115,450864.7,321482,3.0,2.0,1734.0,6426.0,418271.0,78,2,2010,1.0,4.0,6.0,580967.90
16049,2018-02-28,1133572,228003.0,113989,3.0,2.0,1674.0,8547.0,242904.0,48,29,2016,1.0,3.0,3.0,213170.71
16057,2018-02-28,1134015,286512.52,280753,5.0,4.0,2500.0,8100.0,381140.0,48,3,2008,0.0,3.0,12.0,236985.00
16058,2018-02-28,1133724,740850.25,435566,4.0,3.0,2300.0,9525.0,538396.0,48,13,2013,1.0,29.0,5.0,385284.00
16060,2018-02-28,1133541,558686.82,390146,4.0,3.0,2426.0,5251.0,467464.0,48,10,2012,1.0,7.0,10.0,614935.83
16062,2018-02-28,1133826,325346.28,161000,3.0,2.0,1540.0,1760.0,206809.0,48,42,2017,1.0,3.0,2.0,179200.00
16069,2018-02-28,1134014,52049.64,260000,3.0,2.0,1743.0,1474.0,332154.0,48,28,2016,0.0,3.0,3.0,52049.64
16072,2018-02-28,1135866,653021.61,264360,3.0,1.0,1780.0,5000.0,318788.0,48,22,2015,0.0,10.0,4.0,313100.00
16078,2018-02-28,1133890,169513.87,178161,3.0,2.0,1216.0,4500.0,193310.0,48,33,2016,1.0,3.0,1.0,93679.00
16082,2018-02-28,1134260,314127.34,327940,2.0,1.0,2180.0,7500.0,356043.0,48,21,2015,0.0,1.0,2.0,313100.00
16086,2018-02-28,1125165,986056.22,307310,4.0,3.0,3238.0,9252.0,557741.0,48,34,2016,1.0,4.0,3.0,473159.67
16104,2018-02-26,1132528,123803.58,148000,4.0,2.0,1227.0,3938.0,142038.0,33,12,2015,1.0,7.0,2.0,124714.32
16111,2018-02-26,1119888,314258.21,418561,3.0,3.0,1707.0,10950.0,498729.0,33,29,2017,0.0,5.0,1.0,323598.90
16114,2018-02-26,1118006,231903.57,249579,4.0,3.0,1765.0,8385.0,275970.0,33,14,2016,1.0,3.0,2.0,235000.00
16120,2018-02-26,1132527,220156.97,193680,3.0,1.0,1228.0,9000.0,228358.0,33,10,2015,0.0,5.0,8.0,140000.00
16129,2018-02-26,1122286,476461.92,201250,3.0,2.0,1705.0,1760.0,234822.0,33,9,2015,1.0,4.0,3.0,212500.00
16143,2018-02-23,1119453,301848.17,275068,3.0,2.0,2081.0,4399.0,325475.0,14,5,2014,1.0,7.0,2.0,279000.00
16145,2018-02-23,1134965,289957.51,218697,3.0,2.0,1100.0,5700.0,255849.0,14,1,2010,0.0,3.0,3.0,193125.00
16150,2018-02-22,1133843,179805.34,277467,3.0,2.0,1399.0,7500.0,353195.0,26,16,2016,0.0,3.0,7.0,179805.34
16156,2018-02-22,1121362,338496.74,290051,3.0,2.0,1625.0,8968.0,316522.0,26,7,2014,0.0,6.0,3.0,338496.74
16163,2018-02-22,1132097,580695.92,469828,5.0,2.0,2103.0,6750.0,643182.0,26,4,2013,1.0,4.0,9.0,415999.78
16167,2018-02-22,1132281,753386.99,371829,5.0,3.0,2486.0,8633.0,420440.0,26,8,2015,1.0,11.0,1.0,349500.00
16170,2018-02-21,1130667,421158.63,307514,4.0,2.0,2200.0,9375.0,339392.0,33,4,2009,0.0,2.0,5.0,235211.58
16171,2018-02-21,1132738,388443.01,210500,3.0,2.0,1378.0,2661.0,260081.0,33,6,2012,0.0,4.0,4.0,305393.71
16179,2018-02-21,1133522,443301.09,201250,3.0,2.0,1705.0,1870.0,234681.0,33,13,2015,1.0,2.0,5.0,333687.19
16192,2018-02-21,1133416,198955.14,255001,4.0,2.0,1956.0,2490.0,384327.0,33,33,2017,1.0,3.0,2.0,198955.14
16197,2018-02-21,1133005,213595.73,188294,2.0,2.0,1074.0,7500.0,230492.0,33,15,2016,1.0,4.0,2.0,204600.00
16198,2018-02-20,1130747,363192.89,188322,0.0,1.0,3745.0,7102.0,226589.0,45,35,2016,0.0,3.0,1.0,150000.00
16209,2018-02-20,1130282,746999.27,321335,5.0,3.0,2962.0,6018.0,481993.0,45,14,2015,0.0,4.0,4.0,408000.00
16218,2018-02-20,1130650,266886.21,272022,3.0,2.0,1794.0,9790.0,340742.0,45,25,2016,0.0,4.0,3.0,243000.00
16219,2018-02-20,1130615,6586.37,284549,5.0,3.0,3340.0,5028.0,393850.0,45,45,2017,1.0,1.0,1.0,6586.37
16222,2018-02-20,1129799,14122.93,137244,3.0,2.0,1225.0,3402.0,301472.0,45,24,2016,1.0,6.0,3.0,14122.93
16224,2018-02-20,1124472,231946.36,122820,4.0,3.0,1628.0,1988.0,209351.0,45,10,2013,1.0,6.0,3.0,231946.36
16225,2018-02-20,1133579,169236.9,301483,4.0,2.0,2386.0,8320.0,343275.0,45,28,2016,1.0,4.0,7.0,184764.19
16246,2018-02-16,1133989,323218.05,284750,3.0,2.0,2015.0,3978.0,364981.0,44,17,2015,1.0,3.0,7.0,305000.00
16256,2018-02-16,1124602,404196.19,190720,3.0,1.0,1355.0,7875.0,223615.0,44,37,2017,1.0,2.0,4.0,134454.92
16266,2018-02-16,1128122,183185.73,159055,3.0,2.0,1710.0,10042.0,281577.0,44,23,2016,0.0,3.0,11.0,193116.94
16270,2018-02-16,1132313,462798.37,221650,3.0,2.0,1161.0,7937.0,270300.0,44,9,2012,1.0,6.0,2.0,482743.62
16278,2018-02-16,1133032,231164.37,133139,2.0,2.0,1392.0,5750.0,262723.0,44,29,2016,0.0,2.0,4.0,232460.19
16282,2018-02-15,1131798,336310.19,171640,3.0,2.0,1801.0,4390.0,243147.0,87,2,2009,0.0,5.0,2.0,171089.72
16297,2018-02-15,1131182,177932.87,186133,2.0,1.0,840.0,8365.0,189000.0,87,6,2014,0.0,1.0,1.0,221787.56
