,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
399,2021-01-04,1278746,707414.23,630538,4.0,4.0,3624.0,4885.0,784562.0,72,65,2020,1.0,8.0,2.0,444200.0
400,2021-01-04,1277549,337476.46,249982,3.0,2.0,1375.0,7500.0,356723.0,72,43,2019,0.0,12.0,4.0,325100.0
406,2021-01-04,1270038,590291.89,538202,5.0,4.0,4081.0,15000.0,726906.0,72,34,2019,0.0,2.0,1.0,603500.0
408,2021-01-04,1275549,25619.34,463443,3.0,3.0,1762.0,0.0,675762.0,72,64,2019,1.0,1.0,1.0,81400.0
410,2021-01-04,1276320,438573.29,245500,2.0,2.0,1365.0,0.0,381193.0,72,56,2019,1.0,2.0,1.0,320100.0
413,2021-01-04,1272590,554848.12,447101,3.0,2.0,1883.0,6650.0,649695.0,72,45,2019,0.0,4.0,2.0,529300.0
414,2021-01-04,1277834,13073.18,84603,1.0,1.0,910.0,0.0,140001.0,72,60,2019,1.0,2.0,1.0,92400.0
415,2021-01-04,1275531,285645.78,186280,2.0,1.0,1053.0,5720.0,354289.0,72,47,2019,0.0,2.0,1.0,293600.0
418,2021-01-04,1277560,72198.92,59474,3.0,1.0,930.0,0.0,252470.0,72,36,2019,1.0,1.0,2.0,25500.0
419,2021-01-04,1276233,191236.9,174800,1.0,1.0,651.0,0.0,268435.0,72,70,2020,1.0,3.0,1.0,3100.0
420,2021-01-04,1277101,13073.18,84603,1.0,1.0,910.0,0.0,140001.0,72,61,2019,1.0,1.0,1.0,35500.0
426,2020-12-16,1277851,12215.68,707800,3.0,3.0,1557.0,0.0,818614.0,20,19,2020,1.0,1.0,1.0,235600.0
427,2020-12-16,1277291,8014.45,327000,4.0,3.0,2306.0,2275.0,426831.0,20,20,2020,1.0,2.0,0.0,279700.0
429,2020-12-16,1278038,15265.22,263000,3.0,2.0,1712.0,0.0,342580.0,20,18,2020,1.0,1.0,2.0,171100.0
432,2020-12-16,1277550,289679.85,118842,3.0,2.0,1232.0,11001.0,160000.0,20,2,2009,0.0,5.0,6.0,289100.0
434,2020-12-16,1277727,689308.28,180151,4.0,2.0,1812.0,2400.0,369367.0,20,8,2017,1.0,3.5,5.0,342100.0
438,2020-12-16,1273001,582980.19,717000,0.0,0.0,1925.0,0.0,214709.0,20,16,2020,1.0,6.0,1.0,100.0
439,2020-12-16,1277724,186687.06,135000,3.0,2.0,1070.0,0.0,173866.0,20,5,2016,1.0,4.5,4.0,146100.0
443,2020-12-15,1277102,734976.46,591120,2.0,2.0,1800.0,0.0,752171.0,11,5,2019,1.0,11.0,1.0,450100.0
445,2020-12-15,1276927,11167.92,139866,2.0,2.0,979.0,0.0,226312.0,11,8,2019,1.0,1.0,1.0,97200.0
446,2020-12-15,1276941,171115.52,105000,3.0,2.0,1509.0,1249.0,178472.0,11,9,2019,1.0,9.0,3.0,113600.0
447,2020-12-15,1274960,269367.46,150667,3.0,1.0,1012.0,7500.0,245832.0,11,3,2018,0.0,12.0,1.0,223600.0
451,2020-12-15,1276492,64496.25,324866,0.0,0.0,2242.0,4750.0,228876.0,11,6,2019,0.0,3.0,2.0,275300.0
453,2020-12-14,1278442,694264.48,264704,3.0,2.0,1425.0,4413.0,369014.0,14,9,2019,0.0,7.0,1.0,9100.0
459,2020-12-14,1277725,4363617.56,2067400,2.0,3.0,2942.0,0.0,3711543.0,14,10,2019,1.0,7.0,3.0,2200100.0
460,2020-12-14,1273111,325811.9,106839,2.0,1.0,748.0,5739.2,248396.0,14,8,2019,0.0,1.0,2.0,300600.0
461,2020-12-14,1276503,191828.42,168560,2.0,2.0,1160.0,0.0,233830.0,14,5,2018,1.0,9.0,1.0,196700.0
464,2020-12-14,1278775,14981.51,39359,2.0,2.0,1040.0,0.0,124930.0,14,7,2019,1.0,1.0,3.0,61200.0
466,2020-12-09,1277184,268513.61,186000,1.0,1.0,657.0,0.0,778793.0,5,4,2018,1.0,9.0,1.0,162100.0
467,2020-12-09,1273825,299146.19,171761,3.0,2.0,2256.0,7822.0,516402.0,5,2,2015,0.0,2.0,3.0,330100.0
468,2020-12-09,1277083,16531.74,130000,2.0,2.0,965.0,0.0,255142.0,5,3,2018,1.0,7.0,2.0,96100.0
471,2020-12-08,1277035,54664.35,40597,2.0,2.0,1070.0,0.0,131463.0,16,15,2019,1.0,2.0,1.0,60100.0
481,2020-12-08,1272091,1780096.53,752110,0.0,10.0,10293.0,32250.0,299128.0,16,12,2019,0.0,3.0,2.0,860100.0
483,2020-12-08,1277731,373030.86,456005,3.0,3.0,1886.0,12478.0,582622.0,16,14,2019,0.0,3.0,1.0,269100.0
484,2020-12-08,1271941,67672.84,89833,3.0,1.0,936.0,8601.0,249308.0,16,9,2019,0.0,8.0,1.0,166100.0
485,2020-12-07,1274169,591765.28,353795,3.0,2.0,2269.0,15000.0,522569.0,33,16,2018,0.0,2.0,4.0,375100.0
493,2020-12-07,1274193,32506.66,85803,1.0,1.0,679.0,0.0,270127.0,33,22,2019,1.0,1.0,2.0,47500.0
495,2020-12-07,1275184,359397.6,257428,4.0,2.0,2161.0,5254.0,456194.0,33,25,2019,0.0,2.0,2.0,379100.0
497,2020-12-07,1274195,453724.1,138000,2.0,3.0,1113.0,0.0,192301.0,33,2,2008,1.0,5.0,2.0,155100.0
499,2020-12-07,1275939,302362.53,214923,2.0,2.0,1372.0,9223.0,315829.0,33,14,2018,0.0,5.0,1.0,220100.0
500,2020-12-07,1276321,346483.42,134755,2.0,2.0,1460.0,3544.0,344939.0,33,12,2018,1.0,4.0,1.0,295000.0
501,2020-12-07,1275709,197953.29,86607,3.0,3.0,1423.0,0.0,160850.0,33,3,2014,0.0,2.0,3.0,146800.0
502,2020-12-07,1271792,261005.71,266378,3.0,2.0,1463.0,7800.0,395952.0,33,17,2018,0.0,4.0,4.0,335100.0
503,2020-12-07,1276619,246007.44,127815,2.0,2.0,1275.0,1920.0,338970.0,33,27,2019,1.0,3.0,2.0,291300.0
504,2020-12-07,1276371,493720.36,282294,2.0,2.0,2700.0,54450.0,570560.0,33,8,2017,0.0,19.0,6.0,369100.0
505,2020-12-07,1274442,256597.39,132173,3.0,2.0,1200.0,4244.0,248436.0,33,13,2018,1.0,5.0,2.0,207000.0
511,2020-12-07,1271294,600735.3,498000,3.0,2.0,1461.0,0.0,334530.0,33,26,2019,1.0,6.0,2.0,220100.0
512,2020-12-07,1275589,164747.62,55566,0.0,0.0,0.0,5400.0,345151.0,33,21,2019,0.0,2.0,2.0,120100.0
513,2020-12-07,1272295,23330.92,47714,2.0,2.0,1332.0,0.0,173132.0,33,23,2019,1.0,1.0,4.0,102100.0
516,2020-12-02,1275052,432535.59,288808,3.0,2.0,1779.0,7500.0,436512.0,5,3,2018,0.0,4.0,2.0,340900.0
517,2020-12-02,1273071,546868.87,213200,3.0,2.0,1364.0,0.0,288638.0,5,1,2015,1.0,5.0,2.0,243700.0
518,2020-12-02,1275051,1081159.96,754402,5.0,3.0,2798.0,9000.0,1282096.0,5,2,2017,0.0,4.0,3.0,815200.0
521,2020-12-01,1275233,307459.04,201000,3.0,2.0,1460.0,0.0,265296.0,18,11,2018,1.0,8.0,3.0,190400.0
523,2020-12-01,1270849,311337.32,235900,1.0,1.0,816.0,0.0,282664.0,18,13,2019,1.0,4.0,2.0,47300.0
525,2020-12-01,1276355,311815.78,186032,2.0,2.0,1027.0,0.0,338757.0,18,6,2018,1.0,5.0,1.0,194600.0
528,2020-12-01,1273562,199817.79,141100,1.0,1.0,918.0,0.0,189785.0,18,4,2016,1.0,8.0,4.0,45100.0
530,2020-12-01,1275546,664036.8,149100,2.0,2.0,864.0,0.0,204251.0,18,10,2018,1.0,5.0,2.0,163300.0
531,2020-12-01,1272566,572709.56,252345,2.0,1.0,1966.0,9720.0,360540.0,18,14,2019,0.0,3.0,2.0,231900.0
532,2020-12-01,1276124,389329.6,110118,1.0,1.0,1010.0,0.0,166893.0,18,8,2018,1.0,6.0,2.0,110100.0
535,2020-11-30,1274759,602746.17,258244,3.0,2.0,1671.0,5350.0,336375.0,28,2,2015,1.0,5.0,4.0,275600.0
539,2020-11-30,1273780,169049.58,86923,3.0,2.0,1845.0,8355.0,330504.0,28,17,2019,0.0,4.0,2.0,301200.0
540,2020-11-30,1275088,509189.63,344892,3.0,2.0,2058.0,9916.0,432089.0,28,9,2018,0.0,22.0,1.0,435600.0
