,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
2901,2020-01-21,1234309,229327.33,129050,243440.21,4.0,2.0,1840.0,10260.0,314051.0,110,86,2019,0.0,3.0,1.0,100.0
2917,2020-01-21,1231228,132061.27,171668,139427.44,3.0,2.0,1370.0,6342.0,237509.0,110,36,2017,0.0,8.0,1.0,190200.0
2934,2020-01-21,1233274,514954.53,390236,324916.91,4.0,3.0,2388.0,8725.24,519595.0,110,26,2016,1.0,9.0,1.0,390000.0
2968,2020-01-14,1244846,433323.03,235242,315000.00,6.0,5.0,4154.0,21988.0,448114.0,36,5,2015,1.0,3.0,10.0,22600.0
2970,2020-01-14,1247011,466103.15,325601,396950.00,4.0,2.0,2094.0,8200.0,471498.0,36,32,2019,0.0,11.0,1.0,12100.0
2978,2020-01-14,1247023,987282.73,296887,300300.00,4.0,2.0,2317.0,4746.0,410673.0,36,31,2019,0.0,2.0,1.0,100100.0
2987,2020-01-14,1247024,1411413.28,503521,448500.00,6.0,5.0,5050.0,9350.0,591700.0,36,15,2018,1.0,2.0,3.0,69100.0
2989,2020-01-14,1247144,1114706.42,557606,1122221.88,5.0,3.0,3725.0,18125.0,864625.0,36,26,2019,1.0,3.0,1.0,12100.0
3005,2020-01-13,1241379,1753379.88,1205445,1378960.00,3.0,5.0,4227.0,13591.0,1854881.0,72,60,2019,0.0,2.0,1.0,100.0
3009,2020-01-13,1241331,154800.57,135916,156857.21,3.0,2.0,2331.0,10771.2,380710.0,72,71,2019,0.0,4.0,1.0,270100.0
3010,2020-01-13,1239737,347904.9,250716,232358.97,3.0,2.0,1144.0,10000.0,370100.0,72,45,2018,0.0,3.0,2.0,290100.0
3019,2020-01-13,1243719,385986.77,132946,195210.00,4.0,2.0,1336.0,8905.0,268488.0,72,48,2018,0.0,2.0,1.0,195300.0
