,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Plaintiff Max Bid
14045,2018-05-23,1147369,148233.11,421240,5.0,4.0,2700.0,5750.0,408400.0,62,21,2015,0.0,2.0,4.0,148233.11
14081,2018-05-23,1148443,6924.35,162750,3.0,2.0,1325.0,0.0,195745.0,62,62,2018,1.0,1.0,1.0,6924.35
14124,2018-05-21,1148436,1382797.59,2001000,4.0,4.0,2053.0,5000.0,796000.0,57,40,2016,0.0,19.0,3.0,1125000.00
14126,2018-05-21,1148432,375315.46,282417,2.0,2.0,1117.0,0.0,380061.0,57,3,2009,1.0,5.0,6.0,314468.14
14150,2018-05-21,1145083,69633.18,52965,1.0,1.0,836.0,0.0,61028.0,57,55,2017,1.0,4.0,1.0,42800.00
14152,2018-05-21,1143878,244295.03,262449,4.0,2.0,1504.0,6900.0,296634.0,57,53,2017,0.0,27.0,2.0,244300.00
14171,2018-05-18,1147352,115054.95,132190,2.0,2.0,882.0,0.0,201863.0,40,40,2018,1.0,4.0,1.0,115054.95
14177,2018-05-18,1147670,134727.98,122364,2.0,2.0,1113.0,0.0,146170.0,40,25,2016,1.0,8.0,1.0,103740.00
14180,2018-05-18,1146776,450864.7,321482,3.0,2.0,1734.0,6426.0,420704.0,40,3,2010,1.0,4.0,6.0,276214.59
14197,2018-05-18,1140257,406587.01,330194,3.0,1.0,1627.0,7714.0,355778.0,40,14,2014,1.0,10.0,1.0,214720.00
14205,2018-05-17,1138911,338496.74,290051,3.0,2.0,1625.0,8968.0,317325.0,76,8,2014,0.0,6.0,3.0,236898.94
14214,2018-05-17,1148444,474949.49,104320,3.0,2.0,1273.0,7225.0,303879.0,76,10,2015,1.0,3.0,1.0,227800.00
14220,2018-05-16,1147651,243033.7,250861,5.0,2.0,1529.0,5350.0,305779.0,47,37,2016,0.0,3.0,5.0,218700.00
14227,2018-05-16,1146521,345416.83,303549,3.0,2.0,1518.0,10932.0,361999.0,47,8,2014,1.0,4.0,4.0,277543.80
14243,2018-05-16,1131448,214415.55,112549,1.0,1.0,801.0,0.0,162516.0,47,16,2015,1.0,4.0,1.0,101250.00
14288,2018-05-14,1142630,284244.13,313629,5.0,2.0,1940.0,5600.0,444004.0,61,42,2016,0.0,4.0,3.0,300578.08
14307,2018-05-14,1145551,112898.66,157384,4.0,2.0,1475.0,5000.0,159927.0,61,30,2015,1.0,4.5,1.0,114216.61
14314,2018-05-14,1143204,135234.65,230382,3.0,2.0,2171.0,10800.0,264012.0,61,15,2014,0.0,5.0,2.0,143975.51
14367,2018-05-11,1146130,215164.5,206138,3.0,2.0,1245.0,8475.0,239649.0,62,35,2016,0.0,2.0,3.0,165600.00
14369,2018-05-11,1145923,115377.18,148983,2.0,2.0,1137.0,0.0,165179.0,62,59,2017,1.0,2.5,1.0,116677.18
14391,2018-05-11,1146099,359686.23,210789,3.0,1.0,1056.0,5850.0,270775.0,62,2,2009,0.0,6.0,1.0,166010.81
14443,2018-05-07,1141818,258538.69,235773,4.0,1.0,1357.0,7500.0,255887.0,18,16,2017,0.0,4.0,2.0,169150.00
14484,2018-05-02,1144254,130938.71,167400,2.0,2.0,996.0,0.0,186194.0,49,20,2014,1.0,3.0,5.0,144040.92
14525,2018-05-02,1144436,50664.68,143771,2.0,1.0,1036.0,7950.0,186327.0,49,27,2015,0.0,6.0,1.0,53122.83
14539,2018-05-01,1144810,230886.68,224708,3.0,2.0,1417.0,5000.0,288666.0,28,10,2013,1.0,5.0,1.0,205200.00
14577,2018-04-30,1143936,479188.37,241217,6.0,3.0,1827.0,5250.0,284600.0,48,33,2016,1.0,2.0,1.0,273300.00
14582,2018-04-30,1140448,421089.81,219945,3.0,2.0,1988.0,2337.0,279658.0,48,29,2016,1.0,5.0,2.0,208120.00
14593,2018-04-30,1143188,292282.98,160386,3.0,1.0,1104.0,7500.0,200133.0,48,31,2016,1.0,5.0,2.0,129464.28
14635,2018-04-26,1144292,273197.46,361800,1.0,1.0,1102.0,0.0,443200.0,22,20,2017,1.0,5.0,1.0,275471.46
14673,2018-04-24,1143243,147977.53,99492,2.0,1.0,600.0,0.0,129746.0,46,43,2017,1.0,3.0,1.0,101400.00
14694,2018-04-24,1142735,140674.76,214750,4.0,2.0,1288.0,8622.0,221731.0,46,20,2015,1.0,8.0,2.0,143622.96
14724,2018-04-23,1139649,555543.75,289507,2.0,1.0,1342.0,6750.0,352392.0,59,1,2008,0.0,2.0,2.0,272000.00
14735,2018-04-23,1139822,472233.18,587721,4.0,3.0,3385.0,21780.0,487203.0,59,2,2009,0.0,4.0,6.0,428608.02
14737,2018-04-23,1142591,9389.33,205000,2.0,2.0,1592.0,1190.0,258754.0,59,59,2017,1.0,1.0,1.0,9389.33
14755,2018-04-23,1139600,205658.61,181440,3.0,2.0,1523.0,0.0,215274.0,59,55,2017,1.0,6.0,1.0,154600.00
14785,2018-04-19,1127257,206833.41,143260,2.0,2.0,1190.0,0.0,186703.0,61,13,2017,1.0,3.0,1.0,133000.00
14794,2018-04-19,1134035,262653.77,388814,3.0,2.0,1891.0,16125.0,477105.0,61,2,2012,0.0,8.0,8.0,294800.00
14810,2018-04-18,1141456,162807.74,173239,4.0,1.0,1636.0,8100.0,219733.0,25,7,2015,0.0,3.0,3.0,148000.00
14841,2018-04-17,1141743,21288.58,72332,2.0,1.0,1036.0,0.0,113296.0,50,44,2017,1.0,1.0,1.0,21700.00
14847,2018-04-17,1141158,150555.1,145152,2.0,1.0,720.0,6550.0,168285.0,50,21,2015,0.0,3.0,5.0,125000.00
14850,2018-04-17,1142106,381163.19,243103,4.0,2.0,1814.0,7500.0,354881.0,50,14,2013,1.0,3.0,3.0,274700.00
14861,2018-04-16,1138435,440759.76,238692,4.0,3.0,1921.0,7585.0,279626.0,64,11,2014,1.0,5.0,3.0,226600.00
14862,2018-04-16,1133166,130574.48,203682,3.0,2.0,1442.0,8676.0,256788.0,64,31,2016,0.0,4.0,7.0,138926.56
14869,2018-04-16,1138247,237425.81,362052,4.0,3.0,1872.0,11595.0,388521.0,64,1,2009,0.0,34.0,3.0,295648.91
14870,2018-04-16,1138933,357369.0,172855,2.0,2.0,1430.0,0.0,228920.0,64,55,2017,1.0,2.0,1.0,139965.00
14874,2018-04-16,1138681,221758.82,253350,3.0,2.0,1130.0,2651.0,299272.0,64,46,2016,1.0,3.0,2.0,230717.18
14895,2018-04-16,1138851,547882.27,354000,2.0,2.0,1505.0,0.0,414615.0,64,59,2017,1.0,4.0,1.0,337565.69
14900,2018-04-16,1141578,602991.1,278447,5.0,2.0,2634.0,7500.0,296265.0,64,29,2016,1.0,5.0,6.0,145000.00
14925,2018-04-13,1139653,11639.25,144155,3.0,2.0,1926.0,2047.0,220252.0,22,14,2016,1.0,1.0,1.0,11639.25
14928,2018-04-13,1129609,73312.82,88500,1.0,1.0,900.0,0.0,121195.0,22,17,2017,1.0,8.0,1.0,73312.82
14965,2018-04-11,1142489,100951.0,200452,3.0,2.0,1957.0,7000.0,266476.0,64,64,2018,0.0,1.0,2.0,102951.00
14977,2018-04-11,1140877,286178.63,275628,0.0,0.0,3627.0,6525.0,197100.0,64,24,2016,0.0,4.0,3.0,177000.00
14986,2018-04-11,1139784,508546.16,297128,2.0,2.0,1362.0,0.0,469633.0,64,30,2016,1.0,7.0,6.0,327250.00
14987,2018-04-11,1140370,212802.9,127500,1.0,1.0,574.0,0.0,519500.0,64,15,2014,1.0,6.0,1.0,111653.95
14989,2018-04-11,1141141,179658.37,158610,2.0,1.0,1076.0,4350.0,149367.0,64,31,2016,0.0,2.0,1.0,99000.00
14993,2018-04-11,1140918,277195.18,210000,3.0,2.0,1464.0,0.0,246506.0,64,29,2016,1.0,4.0,1.0,210900.00
15004,2018-04-11,1141197,336554.03,215244,3.0,2.0,1410.0,3956.0,288302.0,64,57,2017,0.0,2.0,1.0,224250.00
15010,2018-04-11,1141193,29264.37,182574,3.0,2.0,1523.0,0.0,216562.0,64,63,2017,1.0,1.0,1.0,29264.37
15054,2018-04-10,1109848,284051.98,142800,2.0,2.0,1415.0,0.0,193900.0,38,15,2015,1.0,4.0,1.0,131750.00
15142,2018-04-05,1139466,78895.14,90000,2.0,2.0,970.0,0.0,110255.0,113,21,2016,1.0,8.0,4.0,78895.14
15147,2018-04-05,1141663,100311.31,165408,3.0,2.0,1203.0,10125.0,215417.0,113,68,2017,1.0,10.0,1.0,101012.25
15224,2018-04-04,1141602,323531.43,106500,3.0,2.0,1509.0,1354.0,142890.0,29,1,2013,1.0,4.0,6.0,114496.98
15231,2018-04-03,1140169,186273.65,205000,3.0,2.0,1313.0,0.0,247523.0,10,10,2017,1.0,7.0,3.0,194686.49
15244,2018-04-02,1136917,225694.05,230000,2.0,2.0,1276.0,0.0,333799.0,44,38,2017,1.0,10.0,1.0,241400.00
15250,2018-04-02,1136716,169883.2,93450,2.0,1.0,860.0,0.0,160000.0,44,35,2016,1.0,5.0,1.0,52885.94
15300,2018-03-29,1138407,536661.47,302470,6.0,4.0,3379.0,6000.0,325500.0,27,8,2014,1.0,11.0,1.0,273750.00
