,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Status Binary
604,2020-11-16,1273779,328052.71,393439,3.0,2.0,2440.0,627683.0,38,23,2018,3.0,2.0,0.0
605,2020-11-16,1273575,58305.66,259091,2.0,2.0,1229.0,350940.0,38,2,2011,3.0,2.0,1.0
608,2020-11-16,1275079,25391.01,219980,1.0,1.0,886.0,277154.0,38,24,2019,2.0,1.0,1.0
609,2020-11-16,1274919,644366.19,473885,0.0,1.0,1906.0,577699.0,38,12,2016,6.0,2.0,0.0
621,2020-11-16,1273992,550855.63,567000,3.0,2.0,1489.0,334738.0,38,28,2019,6.0,1.0,1.0
622,2020-11-16,1275519,362766.23,50995,2.0,2.0,870.0,205459.0,38,4,2014,4.0,1.0,1.0
624,2020-11-16,1275078,68399.04,313000,3.0,2.0,1950.0,438127.0,38,31,2019,4.0,1.0,1.0
626,2020-11-16,1271808,166218.94,72718,2.0,2.0,931.0,105533.0,38,20,2018,3.0,2.0,1.0
628,2020-11-16,1270004,533060.41,162068,2.0,2.0,922.0,306359.0,38,22,2018,6.0,1.0,1.0
630,2020-11-16,1275625,496834.0,473000,3.0,2.0,1458.0,539855.0,38,33,2019,3.0,2.0,1.0
636,2020-11-16,1274466,516781.54,359647,1.0,1.0,830.0,385449.0,38,37,2019,3.0,1.0,1.0
647,2020-11-10,1274218,34908.4,61500,0.0,1.0,410.0,334738.0,31,16,2018,5.0,1.0,1.0
648,2020-11-10,1273487,115467.57,115327,3.0,2.0,1548.0,192518.0,31,11,2018,8.0,2.0,0.0
650,2020-11-10,1273267,590108.98,365310,2.0,2.0,926.0,498773.0,31,24,2019,4.0,2.0,1.0
652,2020-11-10,1272414,0,447032,2.0,2.0,1707.0,552305.0,31,29,2020,1.0,4.0,0.0
662,2020-11-09,1273953,8630.4,223000,2.0,2.0,1423.0,259912.0,22,22,2020,2.0,1.0,0.0
663,2020-11-09,1272970,303308.43,173567,1.0,1.0,816.0,343537.0,22,9,2018,4.0,2.0,0.0
665,2020-11-09,1273465,310098.1,128392,2.0,2.0,1143.0,241553.0,22,16,2019,4.0,2.0,0.0
666,2020-11-09,1272587,22229.1,348550,2.0,2.0,1464.0,350191.0,22,19,2020,1.0,3.0,0.0
668,2020-11-09,1272982,265302.28,131900,2.0,1.0,1000.0,322239.0,22,14,2019,4.0,2.0,0.0
671,2020-11-09,1272957,130645.01,84797,2.0,2.0,898.0,152704.0,22,4,2017,3.0,4.0,0.0
675,2020-11-09,1271315,72198.92,59474,3.0,1.0,930.0,251713.0,22,10,2019,1.0,2.0,0.0
677,2020-11-09,1273649,792404.27,355814,2.0,2.0,1509.0,491857.0,22,12,2019,10.0,1.0,0.0
681,2020-11-09,1271944,15265.22,263000,3.0,2.0,1712.0,336778.0,22,21,2020,1.0,2.0,0.0
682,2020-11-09,1274170,213137.62,145229,3.0,2.0,1090.0,235316.0,22,17,2019,2.0,1.0,0.0
686,2020-11-03,1267319,30977.36,70021,3.0,2.0,1120.0,205199.0,8,5,2018,1.0,1.0,0.0
692,2020-11-02,1270131,399740.61,194000,1.0,1.0,654.0,282481.0,33,13,2017,7.0,1.0,1.0
693,2020-11-02,1271167,247393.5,110000,3.0,2.0,1194.0,141449.0,33,9,2015,9.0,5.0,1.0
695,2020-11-02,1271946,600969.45,564482,0.0,0.0,1300.0,683901.0,33,32,2019,8.0,1.0,1.0
699,2020-11-02,1270653,117697.13,157609,2.0,2.0,1106.0,217509.0,33,29,2019,4.0,3.0,1.0
700,2020-11-02,1270905,142959.7,92453,1.0,1.0,737.0,140671.0,33,27,2019,3.0,1.0,0.0
701,2020-11-02,1270425,229523.15,130000,2.0,2.0,965.0,255001.0,33,17,2018,7.0,1.0,0.0
703,2020-11-02,1271803,291369.72,74769,2.0,2.0,1415.0,194351.0,33,14,2017,6.0,2.0,0.0
710,2020-11-02,1270392,185965.81,121000,1.0,1.0,810.0,362905.0,33,18,2018,4.0,2.0,0.0
711,2020-11-02,1270590,457589.74,255700,1.0,1.0,988.0,340797.0,33,26,2019,3.0,1.0,1.0
712,2020-11-02,1271804,515375.85,341000,4.0,3.0,2150.0,449368.0,33,19,2018,6.0,2.0,0.0
714,2020-11-02,1272135,31098.06,1006739,3.0,2.0,1711.0,1393483.0,33,20,2018,2.0,1.0,0.0
716,2020-11-02,1271444,137232.5,224500,0.0,1.0,570.0,276210.0,33,28,2019,3.0,3.0,1.0
718,2020-11-02,1271989,101250.0,153248,3.0,2.0,1218.0,193037.0,33,33,2020,1.0,3.0,0.0
719,2020-11-02,1273000,16931.01,72207,2.0,1.0,874.0,204976.0,33,23,2019,2.0,1.0,0.0
722,2020-11-02,1270592,242875.91,75821,1.0,1.0,700.0,145055.0,33,8,2015,3.0,1.0,1.0
723,2020-10-28,1273067,22236.01,354197,2.0,2.0,1088.0,407911.0,2,2,2019,2.0,2.0,1.0
731,2020-10-27,1273127,261318.57,137297,2.0,2.0,1502.0,198615.0,15,15,2020,26.0,1.0,1.0
734,2020-10-27,1271452,13915.59,81471,1.0,1.0,875.0,113891.0,15,14,2020,3.0,1.0,1.0
737,2020-10-26,1272307,3331892.39,946866,2.0,3.0,2149.0,1664413.0,16,2,2012,6.0,1.0,1.0
741,2020-10-26,1270035,543978.42,386400,2.0,2.0,1326.0,438933.0,16,7,2017,6.0,1.0,1.0
743,2020-10-26,1273658,361032.16,236000,1.0,1.0,1019.0,325306.0,16,14,2019,3.0,1.0,1.0
744,2020-10-26,1270576,18084.66,53355,2.0,2.0,1000.0,182694.0,16,12,2019,2.0,1.0,0.0
754,2020-10-21,1271158,62641.99,602300,3.0,4.0,2670.0,740692.0,27,15,2019,2.0,2.0,1.0
757,2020-10-21,1270817,632286.5,630785,2.0,2.0,1152.0,385740.0,27,19,2019,5.0,3.0,1.0
760,2020-10-21,1270813,28873.16,274851,2.0,2.0,1464.0,372735.0,27,16,2019,1.0,3.0,0.0
763,2020-10-21,1272705,149583.1,86884,2.0,2.0,809.0,104669.0,27,14,2019,3.0,1.0,1.0
769,2020-10-21,1272299,21782.35,698727,1.0,1.0,849.0,851701.0,27,25,2020,1.0,1.0,1.0
